"codigo";"nombre";"nombre_especifico";"departamento";"unidad_responsable";"ruta";"tipo_actuacion";"tipo_procedimiento";"inicio_tramite";"ambito";"nivel_administrativo";"codigo_sia";"fecha_actualizacion_sia";"fecha_publicacion";"fecha_ultima_modificacion";"familia";"fecha_inicio";"fecha_fin";"observaciones_plazo"
894;"Inscripción en el ""Registro administrativo de distribuidores de seguros y reaseguros"" de la Comunidad Autónoma de Canarias.";"_U";"Dirección General del Tesoro y Política Financiera";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Viceconsejería de Hacienda, Planificación y Asuntos Europeos >> Dirección General del Tesoro y Política Financiera >> Servicio de Instituciones  Financieras";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220781";"2022-08-02 22:00:06.379";"2022-08-02 11:10:47.678";"02/08/2022 11:10";"Registros Administrativos";"_Z";"_Z";"_U"
900;"Pruebas para  la obtención y renovación del certificados de capacitación profesional de consejeros de seguridad para el transporte de mercancías peligrosas por carretera.";"_U";"Dirección General de Transportes";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Viceconsejería de Infraestructuras y Transportes >> Dirección General de Transportes >> Servicio de Transporte Terrestre";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220899";"2022-09-12 22:00:04.603";"2022-09-12 13:59:35.613";"12/09/2022 13:59";"Certificaciones";"18/06/2014 23:00";"07/07/2014 23:00";"El plazo de presentación de solicitud de instancias será de veinte días naturales contados desde el día siguiente al de la publicación."
903;"Autorización para llevar a cabo el movimiento de palmeras de las especies Phoenix canariensis, Phoenix dactylifera y Washingtonia spp. en el ámbito de la Comunidad Autónoma de Canarias";"_U";"Dirección General de Agricultura";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Agricultura >> Servicio de Sanidad Vegetal";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220753";"2020-04-21 21:15:22.745";"2020-04-21 13:50:21.993";"21/04/2020 13:50";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
905;"Declaración responsable para inscripción o renovación de la inscripción en el Registro de Empresas Acreditadas en el sector de la construcción (REA)";"_U";"Dirección General de Trabajo";"Consejería de Economía, Conocimiento y Empleo";"Gobierno de Canarias >> Consejería de Economía, Conocimiento y Empleo >> Viceconsejería de Empleo >> Dirección General de Trabajo >> Servicio régimen jurídico y as. generales del ICASEL";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221134";"2022-04-18 22:00:11.266";"2022-04-18 06:42:57.663";"18/04/2022 06:42";"Registros Administrativos";"_Z";"_Z";"_U"
910;"Autorización a los centros que deseen impartir cursos para la obtención de los títulos de buceador profesional";"_U";"Dirección General de Pesca";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Pesca >> Servicio de Estructuras Pesqueras";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220775";"2020-04-15 21:15:27.706";"2020-04-08 11:33:20.631";"15/04/2020 09:36";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
914;"Inscripción en el  Registro Administrativo de instalaciones de producción de energía eléctrica a partir de fuentes de energía renovables, cogeneración y residuos.";"_U";"Dirección General de Energía";"Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial";"Gobierno de Canarias >> Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial >> Viceconsejería lucha contra el cambio climático >> Dirección General de Energía >> Área de Energía >> Servicio combust. y energías renovables";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220596";"2022-04-25 22:00:18.992";"2022-04-25 13:06:02.612";"25/04/2022 13:06";"Registros Administrativos";"_Z";"_Z";"_U"
915;"Reversión de bienes o derechos expropiados en materia de carreteras";"_U";"Dirección General de Infraestructura Viaria";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Viceconsejería de Infraestructuras y Transportes >> Dirección General de Infraestructura Viaria";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221389";"2021-05-10 13:29:56.402";"2021-05-10 13:29:46.61";"10/05/2021 13:29";"Reversión";"_Z";"_Z";"_U"
925;"Homologación de centros sanitarios en el grupo de consultas, subgrupos: especialidades y otros profesionales sanitarios: Dentista.";"_U";"Servicio Canario de la Salud (SCS)";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Dirección del Servicio Canario de Salud >> Central de Inspección y conciertos";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221145";"2021-06-28 22:00:03.844";"2021-06-28 11:25:34.046";"28/06/2021 11:25";"Homologaciones";"_Z";"_Z";"_U"
926;"Convalidación de la tarjeta de identidad para el ejercicio profesional de actividades subacuáticas";"_U";"Dirección General de Pesca";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Pesca >> Servicio de Estructuras Pesqueras";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221248";"2020-10-05 21:00:04.796";"2020-10-05 09:06:04.475";"05/10/2020 09:06";"Convalidaciones";"_Z";"_Z";"_U"
927;"Inscripción en el Registro Regional de Entidades Colaboradoras en la Prestación de servicios sociales.";"_U";"Dirección General de Derechos Sociales e Inmigración";"Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud";"Gobierno de Canarias >> Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud >> Viceconsejería de Derechos Sociales >> Dirección General de Derechos Sociales e Inmigración >> Servicio de Gestión de Políticas Sociales";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221155";"2022-03-24 23:00:05.703";"2022-03-24 09:37:18.733";"24/03/2022 09:37";"Registros Administrativos";"_Z";"_Z";"_U"
928;"Homologación de centros sanitarios en el grupo de Diagnóstico y tratamiento, subgrupo: Rehabilitación.";"_U";"Servicio Canario de la Salud (SCS)";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Dirección del Servicio Canario de Salud >> Central de Inspección y conciertos";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221102";"2021-06-28 22:00:03.844";"2021-06-28 11:26:01.682";"28/06/2021 11:26";"Homologaciones";"_Z";"_Z";"_U"
930;"Declaración de Fiesta de Interés Turístico de Canarias.";"_U";"Dirección General de Ordenación y Promoción Turística";"Consejería de Turismo, Industria y Comercio";"Gobierno de Canarias >> Consejería de Turismo, Industria y Comercio >> Viceconsejería de Turismo >> Dirección General de Ordenación y Promoción Turística >> Servicio de Promoción Turística";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221132";"2022-02-25 23:00:05.97";"2022-02-25 07:53:15.961";"25/02/2022 07:53";"Otras";"_Z";"_Z";"_U"
935;"Aprobación de proyectos de obras subterráneas.";"_U";"Dirección General de Industria";"Consejería de Turismo, Industria y Comercio";"Gobierno de Canarias >> Consejería de Turismo, Industria y Comercio >> Viceconsejería de industria, comercio y consumo >> Dirección General de Industria >> Área de industria >> Servicio de minas";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220355";"2022-05-12 22:00:09.753";"2022-05-12 13:05:47.821";"12/05/2022 13:05";"Aprobaciones";"_Z";"_Z";"_U"
936;"Autorización de establecimientos e intermediarios del sector de la alimentación animal";"_U";"Dirección General de Ganadería";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Ganadería >> Servicio de Industrias, Registro y Bienestar Animal";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220982";"2021-07-16 22:00:31.764";"2020-04-27 07:18:03.5";"15/07/2021 09:35";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
938;"Autorización para la celebración de exposiciones, concursos y otros certámenes ganaderos en el ámbito de la Comunidad Autónoma de Canarias";"_U";"Dirección General de Ganadería";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Ganadería >> Servicio Sanidad Animal y Laboratorio";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220777";"2022-02-09 23:00:19.08";"2021-04-21 09:41:17.58";"09/02/2022 10:05";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
941;"Reconocimiento de las Entidades Canarias en el exterior.";"_U";"Dirección General de Emigración";"Presidencia del Gobierno";"Gobierno de Canarias >> Presidencia del Gobierno >> Viceconsejería de Acción Exterior >> Dirección General de Emigración >> Servicio de acción exterior";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220930";"2020-08-13 21:15:08.27";"2020-08-13 09:17:41.654";"13/08/2020 09:17";"Acreditaciones, Carnés y Habilitaciones";"_Z";"_Z";"_U"
944;"Reconocimiento de interés sanitario para actos de carácter científico.";"_U";"Servicio Canario de la Salud (SCS)";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Dirección del Servicio Canario de Salud >> Servicio de Evaluación y Planificación";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220610";"2022-05-16 22:00:10.667";"2022-05-16 11:15:53.7";"16/05/2022 11:15";"Declaraciones y Calificaciones";"_Z";"_Z";"_U"
945;"Autorización para el ejercicio de la actividad de operador de transporte (OT).";"_U";"Dirección General de Transportes";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Viceconsejería de Infraestructuras y Transportes >> Dirección General de Transportes >> Servicio de Transporte Terrestre";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220997";"2022-03-22 23:00:09.891";"2022-03-22 08:18:53.645";"22/03/2022 08:18";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
946;"Examen de competencia profesional para el ejercicio de la actividad del transporte de  mercancías y / o viajeros por carretera";"_U";"Dirección General de Transportes";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Viceconsejería de Infraestructuras y Transportes >> Dirección General de Transportes >> Servicio de Transporte Terrestre";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221083";"2022-07-22 22:00:13.066";"2022-07-22 12:42:41.615";"22/07/2022 12:42";"Certificaciones";"01/02/2015 00:00";"28/02/2015 00:00";"_U"
947;"Responsabilidad patrimonial.";"Responsabilidad patrimonial en materias de competencia de la Consejería de Obras Públicas y Transportes";"Secretaría General Técnica";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Secretaría General Técnica >> Régimen Jurídico-Relaciones institucionales";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"COMUN";"Nivel 4: Tramitación electrónica completa";"220978";"2021-07-28 11:50:54.721";"2021-07-28 11:50:38.372";"28/07/2021 11:50";"Responsabilidad Patrimonial";"_Z";"_Z";"_U"
947;"Responsabilidad patrimonial.";"Responsabilidad patrimonial en materias de competencia de la Consejería de Obras Públicas y Transportes";"Secretaría General Técnica";"Consejería de Obras Públicas, Transportes y Vivienda";"Gobierno de Canarias >> Consejería de Obras Públicas, Transportes y Vivienda >> Secretaría General Técnica >> Régimen Jurídico-Relaciones institucionales";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"OFICIO";"COMUN";"Nivel 4: Tramitación electrónica completa";"220978";"2021-07-28 11:50:54.721";"2021-07-28 11:50:38.372";"28/07/2021 11:50";"Responsabilidad Patrimonial";"_Z";"_Z";"_U"
950;"Inscripción en el Registro de Asociaciones colaboradoras para la protección y defensa de los animales de compañía de Canarias.";"_U";"Viceconsejería de Administraciones Publicas y Transparencia";"Consejería de Administraciones Públicas, Justicia y Seguridad";"Gobierno de Canarias >> Consejería de Administraciones Públicas, Justicia y Seguridad >> Viceconsejería de Administraciones Publicas y Transparencia >> Servicio de Administración Local";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220986";"2021-11-04 23:00:03.085";"2021-11-04 09:32:01.998";"04/11/2021 09:32";"Registros Administrativos";"_Z";"_Z";"_U"
952;"Expedición de certificados de ayuda del Régimen Específico de Abastecimiento. (R.E.A.)";"_U";"Dirección General de Promoción económica";"Consejería de Economía, Conocimiento y Empleo";"Gobierno de Canarias >> Consejería de Economía, Conocimiento y Empleo >> Viceconsejería de Economía e Internacionalización >> Dirección General de Promoción económica >> Servicio de Relac.Económ. con la Unión Europea";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220626";"2020-07-08 21:15:32.449";"2020-07-08 08:54:38.129";"08/07/2020 08:54";"Certificaciones";"_Z";"_Z";"_U"
953;"Reconocimiento de la calificación de entidad o establecimiento de carácter social a efectos del Impuesto General Indirecto Canario.";"_U";"Agencia Tributaria Canaria";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Agencia Tributaria Canaria >> Dirección >> Subdirección Gestión Tributaria >> Dependencia Tributos Interiores y Propios";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 2: Descarga formularios";"220358";"2022-02-04 23:00:14.523";"2022-02-04 10:35:58.423";"04/02/2022 10:35";"Gestión Tributaria";"_Z";"_Z";"_U"
954;"Enajenación de parcelas sobrantes, solares inedificables y fincas rústicas inexplotables.";"_U";"Dirección General de Patrimonio y Contratación";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Viceconsejería de Hacienda, Planificación y Asuntos Europeos >> Dirección General de Patrimonio y Contratación >> Servicio Patrimonio en Tenerife y Parque Móvil";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221000";"2022-05-04 22:00:21.255";"2022-05-04 13:19:32.808";"04/05/2022 13:19";"Bienes Patrimoniales";"_Z";"_Z";"_U"
955;"Autorización para la realización de intervenciones arqueológicas.";"_U";"Dirección General de Patrimonio Cultural";"Consejería de Educación, Universidades, Cultura y Deportes";"Gobierno de Canarias >> Consejería de Educación, Universidades, Cultura y Deportes >> Viceconsejería de Cultura y Patrimonio Cultural >> Dirección General de Patrimonio Cultural >> Servicio de patrimonio cultural";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221095";"2022-04-26 22:00:06.983";"2022-04-26 12:58:15.849";"26/04/2022 12:58";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
957;"Autorización de empresas de venta y/o asistencia técnica de equipos e instalaciones de rayos X con fines de diagnóstico médico.";"_U";"Dirección General de Industria";"Consejería de Turismo, Industria y Comercio";"Gobierno de Canarias >> Consejería de Turismo, Industria y Comercio >> Viceconsejería de industria, comercio y consumo >> Dirección General de Industria >> Área de industria >> Servicio de desarrollo industrial";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220372";"2022-05-16 22:00:10.667";"2022-05-16 07:20:23.185";"16/05/2022 07:20";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
958;"Autorización de cambio de centro durante el curso escolar no derivado de cambio de domicilio o de cambio de puesto trabajo.";"_U";"Secretaría General Técnica";"Consejería de Educación, Universidades, Cultura y Deportes";"Gobierno de Canarias >> Consejería de Educación, Universidades, Cultura y Deportes >> Secretaría General Técnica >> Dirección Territorial de Educación de Santa Cruz de Tenerife";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220584";"2022-07-18 22:00:08.036";"2022-07-18 12:05:00.579";"18/07/2022 12:05";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
